127.0.0.1 - - [11/Feb/2025:10:48:06 +0700] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [11/Feb/2025:10:48:17 +0700] "GET /Vidu1/Hello HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [11/Feb/2025:10:48:17 +0700] "GET /Vidu1/Hello HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [11/Feb/2025:10:48:17 +0700] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [11/Feb/2025:10:48:17 +0700] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [11/Feb/2025:10:48:39 +0700] "GET /Vidu1/thien HTTP/1.1" 404 767
0:0:0:0:0:0:0:1 - - [11/Feb/2025:10:48:44 +0700] "GET /Vidu1/ten HTTP/1.1" 404 765
0:0:0:0:0:0:0:1 - - [11/Feb/2025:10:49:01 +0700] "GET /Vidu1/Hello./thien HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [11/Feb/2025:10:50:13 +0700] "GET /Vidu1/Hello?ten=Thien HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [11/Feb/2025:10:50:23 +0700] "GET /Vidu1/Hello?ten=Thien HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [11/Feb/2025:10:50:24 +0700] "GET /Vidu1/Hello?ten=Thien HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [11/Feb/2025:10:50:25 +0700] "GET /Vidu1/Hello?ten=Thien HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [11/Feb/2025:10:50:32 +0700] "GET /Vidu1/Hello?ten=Thong%20Thien HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [11/Feb/2025:10:56:19 +0700] "GET /Vidu1/Hello?ten=Thong%20Thien HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [11/Feb/2025:10:56:19 +0700] "GET /Vidu1/Hello?ten=Thong%20Thien HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [11/Feb/2025:10:56:20 +0700] "GET /Vidu1/Hello?ten=Thong%20Thien HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [11/Feb/2025:10:56:20 +0700] "GET /Vidu1/Hello?ten=Thong%20Thien HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [11/Feb/2025:10:56:21 +0700] "GET /Vidu1/Hello?ten=Thong%20Thien HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [11/Feb/2025:10:56:44 +0700] "GET /Vidu1/Hello HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [11/Feb/2025:10:56:48 +0700] "GET /Vidu1/Hello?ten=Thien HTTP/1.1" 200 34
0:0:0:0:0:0:0:1 - - [11/Feb/2025:10:56:50 +0700] "GET /Vidu1/Hello? HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [11/Feb/2025:10:56:51 +0700] "GET /Vidu1/Hello? HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [11/Feb/2025:10:56:58 +0700] "GET /Vidu1/Hello?ten=Thong%20Thien HTTP/1.1" 200 40
0:0:0:0:0:0:0:1 - - [11/Feb/2025:10:57:03 +0700] "GET /Vidu1/Hello? HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [11/Feb/2025:11:00:27 +0700] "GET /Vidu1/Hello? HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [11/Feb/2025:11:00:27 +0700] "GET /Vidu1/red HTTP/1.1" 404 765
0:0:0:0:0:0:0:1 - - [11/Feb/2025:11:00:30 +0700] "GET /Vidu1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Feb/2025:11:00:30 +0700] "GET /Vidu1/ HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [11/Feb/2025:11:00:34 +0700] "GET /Vidu1/Hello HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [11/Feb/2025:11:00:34 +0700] "GET /Vidu1/red HTTP/1.1" 404 765
0:0:0:0:0:0:0:1 - - [11/Feb/2025:11:00:47 +0700] "GET /Vidu1/Hello HTTP/1.1" 200 69
0:0:0:0:0:0:0:1 - - [11/Feb/2025:11:00:48 +0700] "GET /Vidu1/Hello HTTP/1.1" 200 69
0:0:0:0:0:0:0:1 - - [11/Feb/2025:11:02:11 +0700] "GET /Vidu1/Hello HTTP/1.1" 200 77
0:0:0:0:0:0:0:1 - - [11/Feb/2025:11:02:13 +0700] "GET /Vidu1/Hello HTTP/1.1" 200 77
0:0:0:0:0:0:0:1 - - [11/Feb/2025:11:02:38 +0700] "GET /Vidu1/Hello?ten=Thien HTTP/1.1" 200 79
